".Crowley County, Colorado","5,636",787.428,12.905,800.333
".Custer County, Colorado","5,534",738.626,1.299,739.925
".Delta County, Colorado","31,746",1142.125,6.481,1148.606
".Denver County, Colorado","716,577",153.074,1.651,154.725
".Dolores County, Colorado","2,513",1067.17,1.049,1068.219
".Douglas County, Colorado","383,906",840.888,2.624,843.512
".Eagle County, Colorado","54,381",1684.47,7.323,1691.793
".Elbert County, Colorado","28,806",1850.086,0.171,1850.257
".El Paso County, Colorado","744,215",2126.416,2.728,2129.144
".Fremont County, Colorado","50,318",1533.835,0.863,1534.698
".Garfield County, Colorado","62,707",2947.425,8.381,2955.806
".Gilpin County, Colorado","5,926",150.023,0.364,150.387
".Grand County, Colorado","15,935",1846.447,23.122,1869.569
".Gunnison County, Colorado","17,321",3239.14,20.491,3259.631
".Hinsdale County, Colorado",765,1117.231,5.917,1123.148
".Huerfano County, Colorado","7,055",1591.033,2.236,1593.269
".Jackson County, Colorado","1,309",1613.726,7.239,1620.965
".Jefferson County, Colorado","576,366",764.39,9.673,774.063
".Kiowa County, Colorado","1,384",1767.809,18.16,1785.969
".Kit Carson County, Colorado","6,994",2160.822,0.869,2161.691
".Lake County, Colorado","7,365",376.919,6.993,383.912
".La Plata County, Colorado","56,407",1689.682,9.901,1699.583
".Larimer County, Colorado","370,771",2595.746,38.243,2633.989
".Las Animas County, Colorado","14,348",4772.938,2.676,4775.614
".Lincoln County, Colorado","5,480",2577.73,8.796,2586.526
".Logan County, Colorado","20,619",1838.599,6.318,1844.917
".Mesa County, Colorado","159,681",3328.721,12.352,3341.073
".Mineral County, Colorado",944,875.76,2.016,877.776
".Moffat County, Colorado","13,327",4743.244,7.646,4750.89
".Montezuma County, Colorado","26,531",2029.349,10.505,2039.854
".Montrose County, Colorado","44,156",2240.946,1.901,2242.847
".Morgan County, Colorado","29,524",1280.485,13.383,1293.868
".Otero County, Colorado","18,136",1261.946,7.758,1269.704
".Ouray County, Colorado","5,176",540.671,1.539,542.21
".Park County, Colorado","18,117",2193.51,16.803,2210.313
".Phillips County, Colorado","4,476",687.928,0.117,688.045
".Pitkin County, Colorado","16,640",970.701,2.499,973.2
".Prowers County, Colorado","11,751",1638.407,5.915,1644.322
".Pueblo County, Colorado","169,422",2386.591,11.174,2397.765
".Rio Blanco County, Colorado","6,569",3220.971,1.88,3222.851
".Rio Grande County, Colorado","11,188",911.956,0.38,912.336
".Routt County, Colorado","25,064",2362.02,6.113,2368.133
".Saguache County, Colorado","6,688",3168.566,1.72,3170.286
".San Juan County, Colorado",802,387.516,0.786,388.302
".San Miguel County, Colorado","7,868",1286.725,2.011,1288.736
".Sedgwick County, Colorado","2,299",548.041,1.363,549.404
".Summit County, Colorado","30,465",608.328,10.931,619.259
".Teller County, Colorado","24,617",557.141,1.915,559.056
".Washington County, Colorado","4,855",2518.084,5.872,2523.956
".Weld County, Colorado","359,442",3984.958,31.788,4016.746
".Yuma County, Colorado","9,862",2364.399,4.299,2368.698
".Capitol Planning Region, Connecticut","975,328",1027.354,18.832,1046.186
".Greater Bridgeport Planning Region, Connecticut","327,651",140.181,97.979,238.16
".Lower Connecticut River Valley Planning Region, Connecticut","176,215",424.117,93.083,517.2
".Naugatuck Valley Planning Region, Connecticut","456,128",412.784,8.783,421.567
".Northeastern Connecticut Planning Region, Connecticut","96,692",553.895,9.262,563.157
".Northwest Hills Planning Region, Connecticut","113,463",786.642,21.466,808.108
".South Central Connecticut Planning Region, Connecticut","568,158",367.252,252.328,619.58
".Southeastern Connecticut Planning Region, Connecticut","279,634",598.139,83.573,681.712
".Western Connecticut Planning Region, Connecticut","623,907",532.129,115.9,648.029
".Kent County, Delaware","189,789",586.061,212.27,798.331
".New Castle County, Delaware","578,592",426.338,67.689,494.027
".Sussex County, Delaware","263,509",936.14,260.283,1196.423
".District of Columbia, District of Columbia","678,972",61.126,7.224,68.35
".Alachua County, Florida","285,994",875.646,93.163,968.809
".Baker County, Florida","28,368",585.23,3.74,588.97
".Bay County, Florida","190,769",758.622,708.099,1466.721
".Bradford County, Florida","27,858",293.966,6.525,300.491
".Brevard County, Florida","643,979",1014.967,542.069,1557.036
".Broward County, Florida","1,962,531",1202.9,105.528,1308.428
".Calhoun County, Florida","13,470",567.336,6.977,574.313
".Charlotte County, Florida","206,134",681.117,266.119,947.236
".Citrus County, Florida","166,696",581.934,378.808,960.742
".Clay County, Florida","232,439",604.598,38.946,643.544
".Collier County, Florida","404,310",1996.995,608.045,2605.04
".Columbia County, Florida","73,063",797.377,3.941,801.318
".DeSoto County, Florida","35,979",636.695,2.411,639.106
".Dixie County, Florida","17,465",705.035,338.359,1043.394
".Duval County, Florida","1,030,822",762.623,155.841,918.464
".Escambia County, Florida","326,928",656.997,468.713,1125.71
".Flagler County, Florida","131,439",486.191,84.637,570.828
".Franklin County, Florida","12,594",544.999,876.606,1421.605
".Gadsden County, Florida","43,833",516.375,12.153,528.528
".Gilchrist County, Florida","19,587",349.695,5.545,355.24
".Glades County, Florida","12,786",806.822,180.424,987.246
".Gulf County, Florida","15,693",553.467,241.083,794.55
".Hamilton County, Florida","13,471",514.295,4.761,519.056
".Hardee County, Florida","25,760",637.569,0.569,638.138
".Hendry County, Florida","43,333",1155.95,33.428,1189.378
".Hernando County, Florida","212,807",472.967,242.44,715.407
".Highlands County, Florida","107,614",1017.664,89.057,1106.721
".Hillsborough County, Florida","1,535,564",1022.537,305.284,1327.821
".Holmes County, Florida","19,944",478.858,10.189,489.047
".Indian River County, Florida","169,795",502.553,114.073,616.626
".Jackson County, Florida","48,622",918.238,36.326,954.564
".Jefferson County, Florida","15,450",598.079,74.542,672.621
".Lafayette County, Florida","8,078",543.345,4.563,547.908
".Lake County, Florida","424,462",952.139,204.623,1156.762
".Lee County, Florida","834,573",781.154,733.675,1514.829
".Leon County, Florida","296,913",668.428,33.365,701.793
".Levy County, Florida","46,545",1118.255,472.701,1590.956
".Liberty County, Florida","7,706",835.563,7.561,843.124
".Madison County, Florida","18,519",696.529,19.164,715.693
".Manatee County, Florida","441,095",742.762,221.268,964.03
".Marion County, Florida","409,959",1588.434,74.228,1662.662
".Martin County, Florida","163,315",543.823,209.301,753.124
".Miami-Dade County, Florida","2,686,867",1899.954,489.367,2389.321
".Monroe County, Florida","80,614",983.034,4306.531,5289.565
".Nassau County, Florida","101,501",648.681,77.24,725.921
".Okaloosa County, Florida","218,464",929.826,316.864,1246.69
".Okeechobee County, Florida","41,427",769.286,122.751,892.037
".Orange County, Florida","1,471,416",903.032,100.403,1003.435
".Osceola County, Florida","437,784",1327.5,178.477,1505.977
".Palm Beach County, Florida","1,533,801",1964.32,418.88,2383.2
".Pasco County, Florida","632,996",746.606,267.984,1014.59
".Pinellas County, Florida","961,596",273.789,593.039,866.828
".Polk County, Florida","818,330",1798.235,212.177,2010.412
".Putnam County, Florida","75,955",728.392,98.529,826.921
".St. Johns County, Florida","320,110",600.645,220.891,821.536
".St. Lucie County, Florida","373,586",571.874,116.126,688
".Santa Rosa County, Florida","203,162",1012.402,209.767,1222.169
".Sarasota County, Florida","469,013",556.026,419.526,975.552
".Seminole County, Florida","484,271",309.368,35.971,345.339
".Sumter County, Florida","151,565",557.144,22.685,579.829
